name,id,subject,keywords,API_type,MD_standards
Database of Interacting Proteins,FAIRsharing_doi:10.25504/FAIRsharing.qje0v8#RRID:OMICS_01905#RRID:SCR_003167#RRID:nif-0000-00569,"2 Life Sciences#201 Basic Biological and Medical Research#20101 Biochemistry#20105 General Genetics#204 Microbiology, Virology and Immunology#21 Biology#22 Medicine",Caenorhabditis elegans#Helicobacter pylori#Norway rat#baker's yeast#cow#escherichia coli#fruit fly#human#mouse#thale cress,FTP,MIBBI - Minimum Information for Biological and Biomedical Investigations
World Glacier Monitoring Service,doi:10.5904/wgms-fog-2018-11,3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#314 Geology and Palaeontology#318 Water Research#34 Geosciences (including Geography),atmospheric warming#climate change#geomorphology#glacier fluctuation#glaciology#ice#snow,other,Repository-Developed Metadata Schemas
Conservation Genome Resource Bank for Korean Wildlife,,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#20713 Basic Veterinary Medical Science#21 Biology#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",DNA#biochemistry#biodiversity#biosphere#blood#ecology#species protection#wildlife population,,
Citrination,FAIRsharing_doi:10.25504/FAIRsharing.x6y19r,3 Natural Sciences#31 Chemistry#4 Engineering Sciences#406 Materials Science#43 Materials Science and Engineering,analytics platform#chemometrics#material science,other,
Antarctic Marine Geology Research Facility,RRID:SCR_002213#RRID:nlx_154735,"3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#315 Geophysics and Geodesy#316 Geochemistry, Mineralogy and Crystallography#34 Geosciences (including Geography)",antarctic  climatic history#antarctic geologic  history#biostratigraphy#core samples#marine sediments#paleoceanography#sedimentology,,
InGeoCloudS,,"2 Life Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#34 Geosciences (including Geography)",boreholes#geography#geohazards#geology#geoprocessing#groundwater#maps#pesticides#shakes#space,REST,
Geoscience Data Exchange,,3 Natural Sciences#313 Atmospheric Science and Oceanography#318 Water Research#34 Geosciences (including Geography),aerosols#atmosphere#climate indicators#sun-earth interactions,OAI-PMH#REST,DIF - Directory Interchange Format#ISO 19115
Repositorio Abierto,ROAR:5792,1 Humanities and Social Sciences#102 History#11 Humanities,Baeza#La Rábida#multidisciplinary,OAI-PMH,Dublin Core
Addgene,FAIRsharing_doi:10.25504/FAIRsharing.8hcczk#MIR:00000675#OMICS_04712#RRID:SCR_002037#RRID:nif-0000-11872,2 Life Sciences#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine,DNA#SHRNA expression#XDNA expression#biology#cloning data#empty backbones#gene bank#genome modification#medicine#viral vectors,,
Bjerknes Climate Data Centre,biodbcore-001592,1 Humanities and Social Sciences#3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#314 Geology and Palaeontology#34 Geosciences (including Geography),FAIR#climate change#natural science#research data,,DIF - Directory Interchange Format#Dublin Core#ISO 19115
India Environment Portal,biodbcore-001703,"2 Life Sciences#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#31501 Geophysics#318 Water Research#31801 Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management#34 Geosciences (including Geography)",India#agriculture#air pollution#atmosphere#climate and civilization#climate change mitigation#environmental impact analysis#environmental management#forests and forestry#irrigation canals and flumes - environmental aspects#mining claims#natural disasters#water pollution#water resources development,,
FooDB,,3 Natural Sciences#305 Biological Chemistry and Food Chemistry#30502 Food Chemistry#31 Chemistry,biochemistry#food additives#groceries#metabolomics#physiology#phytochemistry,other,
Flytrap,RRID:SCR_003075#RRID:nif-0000-00051,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#206 Neurosciences#21 Biology#22 Medicine,Drosophila#brain function#cell#expressen pattern#gene expression#genetics#neuroimagining,,
IRI/LDEO Climate Data Library,,3 Natural Sciences#313 Atmospheric Science and Oceanography#34 Geosciences (including Geography),atmosphere#climate change mitigation#climatology#environmental sciences#fisheries#global weather experiment project#hydrology#oceanography#topoclimatology#weather,NetCDF#OpenDAP,
NCBI dbVar,RRID:SCR_003219#RRID:nlx_157217,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine",DNA#animal#bioinformatics#gene expression#gene studies#genetic code#genomics#human#phenotype,FTP,
Research Data Center PIAAC at GESIS,doi:10.4232/1.12660,1 Humanities and Social Sciences#111 Social Sciences#12 Social and Behavioural Sciences,Problem Solving#Programme for the International Assessment of Adult Competencies#Survey of Adult Skills#literacy#numeracy,,DDI - Data Documentation Initiative
Worldwide Protein Data Bank,FAIRsharing_doi:10.25504/FAIRsharing.mckkb4#RRID:SCR_006555#RRID:nif-0000-23903,"2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20104 Structural Biology#20104 Structural Biology#20105 General Genetics#205 Medicine#21 Biology#22 Medicine#3 Natural Sciences#301 Molecular Chemistry#308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas#31 Chemistry#316 Geochemistry, Mineralogy and Crystallography#32 Physics#34 Geosciences (including Geography)",biology#molecular biology#proteins#proteomics#x-ray structures,FTP#FTP#FTP#FTP#other,
ZEW Forschungsdatenzentrum,,1 Humanities and Social Sciences#112 Economics#11205 Statistics and Econometrics#12 Social and Behavioural Sciences,Climate Negotiations Equity#ECO-CARS#Integrated Product Policy#KfW/ZEW Start-up Panel#Mannheim Innovation Panel#SECO@home#Transport Market Barometer#ZEW Financial Market Test,,
DNAmod,FAIRsharing_doi:10.25504/FAIRsharing.qgMKai,1 Humanities and Social Sciences#2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20105 General Genetics#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine,DNA modification#bioinformatics#epigenomics#nucleotide,,
International Network of Nuclear Reaction Data Centres,,"3 Natural Sciences#309 Particles, Nuclei and Fields#30901 Particles, Nuclei and Fields#32 Physics",nuclear data#nuclear physics#nuclear science#nuclear technology,,
National Science Digital Library,RRID:SCR_008215#RRID:nif-0000-21294#biodbcore-001196,"1 Humanities and Social Sciences#102 History#109 Education Sciences#11 Humanities#111 Social Sciences#113 Jurisprudence#12 Social and Behavioural Sciences#2 Life Sciences#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#31 Chemistry#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#317 Geography#32 Physics#33 Mathematics#34 Geosciences (including Geography)#4 Engineering Sciences#409 Computer Science#44 Computer Science, Electrical and System Engineering",space science#technology,OAI-PMH,
SilkDB 3.0,RRID:SCR_007926#RRID:nif-0000-03462,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#21 Biology,bioinformatics#expression data#functional annotation mapping#functional chromosome mapping#genes#genomics#sequences,,
National Center for Forestry and Grassland Genetic Resources,,"2 Life Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#20702 Plant Cultivation#20705 Plant Breeding#20710 Basic Forest Research#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",excellent germplasm#foreign tree species#forest germplasm resources,,
BeeBase,OMICS_10641#RRID:SCR_008966#RRID:nlx_152034,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#21 Biology,bee culture#bee pollen#bee products#beehives#bees#entomology#genomics#honey#insects#pollination#pollination by bees#pollinators,,
World Ocean Database,FAIRsharing_doi:10.25504/FAIRsharing.73ea53,3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#34 Geosciences (including Geography),bathytermography#buoys#climatology#coast#earth climate#geophysics#meterology#nitrate#oceanography#oxygen#phosphate#planktion#salinity#silicate#temperature,FTP#NetCDF,CF (Climate and Forecast) Metadata Conventions#ISO 19115
Human Metabolome Database,FAIRsharing_doi:10.25504/FAIRsharing.sye5js#RRID:SCR_013647#RRID:nlx_152721,"2 Life Sciences#201 Basic Biological and Medical Research#20101 Biochemistry#204 Microbiology, Virology and Immunology#20401 Metabolism, Biochemistry and Genetics of Microorganisms#21 Biology#22 Medicine#3 Natural Sciences#31 Chemistry",FAIR#biomarker discovery#clinical chemistry#diseases#enzyme#general education#life sciences#metabolite#metabolomics#pathways#proteins#reactions#transporter,,
Berkeley Drosophila Genome Project,FAIRsharing_doi:10.25504/FAIRsharing.kap6gp#OMICS_22557#RRID:SCR_013094#RRID:nif-0000-02867,"2 Life Sciences#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#21 Biology",D.Melanogaster Release 5 Genome#Drosophila Gene Collection#EST Sequencing#Expression Pattern#Gene Disruption Project#SNP map#Universal Proteomics Resource#modENCODE,FTP,
Mappa,,1 Humanities and Social Sciences#1 Humanities and Social Sciences#101 Ancient Cultures#10104 Classical Archaeology#11 Humanities,anthropology#environment#infrastructure#landscape#navigation,,ISO 19115
TROVE,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,other,
Roman Villa of Capo di Sorrento,doi:10.17171/2-4,1 Humanities and Social Sciences#101 Ancient Cultures#10104 Classical Archaeology#102 History#11 Humanities,Cape of Sorento#Gulf of Naples#Roman villegiatura#architecture#pars rustica,,DataCite Metadata Schema
PlasmID,FAIRsharing_doi:10.25504/FAIRsharing.k9ptv7#OMICS_08730,"2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20105 General Genetics#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine",DNA sequencing#cDNA#cancer#human#molecule#mouse#plasmid clones#shRNA,,
Sistema de Información de Biodiversidad de Ecuador SiB-Ec,,2 Life Sciences#3 Natural Sciences,GBIF,REST,ABCD - Access to Biological Collection Data#Darwin Core#DataCite Metadata Schema#Dublin Core#EML - Ecological Metadata Language
Survey of India,,3 Natural Sciences#314 Geology and Palaeontology#31401 Geology and Palaeontology#315 Geophysics and Geodesy#31501 Geophysics#34 Geosciences (including Geography),geological data#geophysical data#large-scale cities#photogrammetry#spatial data#survey#topographical data,,
Monash University Research Repository,,"1 Humanities and Social Sciences#2 Life Sciences#22 Medicine#3 Natural Sciences#3 Natural Sciences#315 Geophysics and Geodesy#31501 Geophysics#34 Geosciences (including Geography)#4 Engineering Sciences#4 Engineering Sciences#409 Computer Science#44 Computer Science, Electrical and System Engineering",multidisciplinary#research data#research outputs#research publications#special collections,OAI-PMH#OAI-PMH,CSMD-CCLRC Core Scientific Metadata Model#DDI - Data Documentation Initiative#Dublin Core
Open Data LMU,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,OAI-PMH,DataCite Metadata Schema
WHOI Seafloor Data and Observation Visualization Environment,,3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#34 Geosciences (including Geography),deep sea#gis-database#global ocean observing system#gscanning altimetry#multi-scalar-seafloor data#ocean subsurface#ocean surface#oceanography#sidescan sonar,,
National Pollutant Release Inventory,biodbcore-001476,"3 Natural Sciences#304 Analytical Chemistry, Method Development (Chemistry)#31 Chemistry#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#316 Geochemistry, Mineralogy and Crystallography#34 Geosciences (including Geography)#4 Engineering Sciences#403 Process Engineering, Technical Chemistry#40302 Technical Chemistry#42 Thermal Engineering/Process Engineering",acidic drainage#climate change#disposal#facility data#heavy metals#key air pollutants#mapping#persistent organic pollutants#pollutions#substances#tailings#waste rock,,
Export Import Data Bank,,1 Humanities and Social Sciences#112 Economics#11205 Statistics and Econometrics#12 Social and Behavioural Sciences,GeoNames.org#India#business#commerce#commodity control#commodity exchanges#economics#exports#finance#imports#industries#statistics,,Repository-Developed Metadata Schemas
CDC - Climate Data Center,,3 Natural Sciences#313 Atmospheric Science and Oceanography#34 Geosciences (including Geography),agroclimatology#atmospheric chemistry#climate#human biometeorology#hydroclimatology#marine climatology#medical climatology#meteorology#ozone#phenology#radioactivity monitoring#technical climatology#weather,FTP,ISO 19115
Autophagy Database,OMICS_03306#RRID:SCR_002671,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#21 Biology#4 Engineering Sciences,autophagocytosis#cell death#cell protection#diseases#eukaryotes#lysosomal degradation pathway#macroautophagy#proteins#self-digestion,,
Chickpea Transcriptome Database,OMICS_04684,2 Life Sciences#201 Basic Biological and Medical Research#202 Plant Sciences#20207 Plant Genetics#21 Biology,Arapidopsis#chickpea transcriptome#cicer arietinum#cicer reticulatum#compound microsatellite#desi chickpea#flower development#kabuli chickpea#legumes#polymorphic microsatellite#wild chickpea,,
Survey Research Data Archive,,1 Humanities and Social Sciences#11 Humanities#111 Social Sciences#112 Economics#11204 Business Administration#12 Social and Behavioural Sciences#2 Life Sciences#21 Biology#22 Medicine#4 Engineering Sciences,cross-sectional study#government survey#panel study,,DDI - Data Documentation Initiative
Haldimand County Open Data,,"2 Life Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#4 Engineering Sciences#407 Systems Engineering#40704 Traffic and Transport Systems, Logistics#44 Computer Science, Electrical and System Engineering",multidisciplinary,REST,
